LEV 1:1	Domnul l-a chemat pe Moise și i-a vorbit din Cortul Întâlnirii, spunând:
LEV 14:31	din ce-i îngăduie mijloacele: una ca jertfă pentru păcat și cealaltă ca jertfă de ardere de tot, împreună cu jertfa de mâncare. Astfel preotul va face ispășire înaintea Domnului pentru cel ce se curățește.
LEV 14:32	Aceasta este legea pentru cel ce are o rană de lepră și ale cărui mijloace nu-i îngăduie mai mult pentru curățirea sa.”
LEV 14:33	Domnul le-a vorbit lui Moise și lui Aaron, spunând:
LEV 14:34	„Când veți intra în țara Canaanului, pe care v-o dau în stăpânire, și voi trimite o rană de lepră pe o casă din țara stăpânirii voastre,
LEV 14:35	proprietarul casei să vină și să-i spună preotului: «Mi se pare că este o rană pe casă.»
LEV 14:36	Preotul va porunci să se golească casa înainte ca preotul să intre să examineze rana, ca să nu devină necurat tot ce este în casă; după aceea preotul va intra să examineze casa.
LEV 14:37	Va examina rana; dacă rana de pe zidurile casei este formată din adâncituri verzui sau roșiatice, care apar mai adâncite decât zidul,
LEV 14:38	preotul va ieși din casă, la ușa casei, și va închide casa timp de șapte zile.
LEV 14:39	Preotul se va întoarce în ziua a șaptea și o va examina; dacă rana s-a întins pe zidurile casei,
LEV 14:40	preotul va porunci să se scoată pietrele pe care este rana și să se arunce afară din cetate, într-un loc necurat.
LEV 14:41	Va radia casa în interior de jur împrejur, iar tencuiala pe care au ras-o o vor arunca afară din cetate, într-un loc necurat.
LEV 14:42	Vor lua alte pietre și le vor pune în locul acelor pietre; vor lua altă tencuială și vor tencui casa.
LEV 14:43	Dar dacă rana va izbucni din nou pe casă, după ce au scos pietrele și după ce casa a fost rasă și tencuită,
LEV 14:44	preotul va intra și o va examina; dacă rana s-a întins pe casă, este o lepră distrugătoare pe casă: ea este necurată.
LEV 14:45	Va dărâma casa, pietrele ei, lemnul ei și toată tencuiala casei, și le va scoate afară din cetate, într-un loc necurat.
LEV 14:46	Cine va intra în casă în tot timpul cât a fost închisă va fi necurat până seara.
LEV 14:47	Cine va dormi în casă își va spăla hainele, și cine va mânca în casă își va spăla hainele.
LEV 14:48	Dar dacă preotul va intra și va examina și iată că rana nu s-a întins pe casă după ce a fost tencuită, preotul va declara casa curată, căci rana s-a vindecat.
LEV 14:49	Pentru curățirea casei va lua două păsări, lemn de cedru, fir de cârmâz și isop.
LEV 14:50	Va junghia una din păsări într-un vas de lut, deasupra unei ape curgătoare.
LEV 14:51	Va lua lemnul de cedru, isopul, firul de cârmâz și pasărea vie și le va muia în sângele păsării junghiate și în apa curgătoare, și va stropi casa de șapte ori.
LEV 14:52	Va curăți casa cu sângele păsării, cu apa curgătoare, cu pasărea vie, cu lemnul de cedru, cu isopul și cu firul de cârmâz.
LEV 14:53	Apoi va lăsa pasărea vie să zboare afară din cetate, pe câmp; astfel va face ispășire pentru casă și ea va fi curată.
LEV 14:54	Aceasta este legea pentru orice rană de lepră și pentru râie,
LEV 14:55	pentru lepra de pe o haină și de pe o casă,
LEV 14:56	pentru umflătură, pentru eczemă și pentru pată,
LEV 14:57	ca să se învețe când ceva este necurat și când este curat. Aceasta este legea leprei.”
LEV 15:1	Domnul le-a vorbit lui Moise și lui Aaron, spunând:
LEV 15:2	„Vorbiți fiilor lui Israel și spune-le: Când un bărbat va avea o scurgere din trupul său, scurgerea lui este necurată.
LEV 15:3	Iată în ce constă necurăția scurgerii lui: fie că trupul său lasă să curgă scurgerea, fie că trupul său este oprit de la scurgerea sa, este necurăția lui.
LEV 15:4	Orice pat pe care se va culca cel ce are scurgerea va fi necurat, și orice lucru pe care se va așeza va fi necurat.
LEV 15:5	Cine se va atinge de patul lui să-și spele hainele, să se scalde în apă și va fi necurat până seara.
LEV 15:6	Cine se va așeza pe lucrul pe care a șezut cel ce are scurgerea să-și spele hainele, să se scalde în apă și va fi necurat până seara.
LEV 15:7	Cine se va atinge de trupul celui ce are scurgerea să-și spele hainele, să se scalde în apă și va fi necurat până seara.
LEV 15:8	Dacă cel ce are scurgerea va scuipa pe cineva curat, acela să-și spele hainele, să se scalde în apă și va fi necurat până seara.
LEV 15:9	Orice șa pe care va încăleca cel ce are scurgerea va fi necurată.
LEV 15:10	Oricine se va atinge de ceva ce a fost sub el va fi necurat până seara; și cine va purta acele lucruri să-și spele hainele, să se scalde în apă și va fi necurat până seara.
LEV 15:11	Oricine va fi atins de cel ce are scurgerea, fără ca acesta să-și fi spălat mâinile în apă, să-și spele hainele, să se scalde în apă și va fi necurat până seara.
LEV 15:12	Vasul de lut pe care îl va atinge cel ce are scurgerea să fie spart, iar orice vas de lemn să fie spălat cu apă.
LEV 15:13	Când cel ce are scurgerea se va curăți de scurgerea lui, să numere șapte zile pentru curățirea sa, să-și spele hainele, să-și scalde trupul în apă curgătoare și va fi curat.
LEV 15:14	În ziua a opta să ia două turturele sau doi pui de porumbel, să vină înaintea Domnului, la intrarea Cortului Întâlnirii, și să-i dea preotului.
LEV 15:15	Preotul îi va aduce, unul ca jertfă pentru păcat și celălalt ca jertfă de ardere de tot; astfel preotul va face ispășire pentru el înaintea Domnului de scurgerea lui.
LEV 15:16	Dacă un bărbat va avea o scurgere seminală, să-și scalde tot trupul în apă și va fi necurat până seara.
LEV 15:17	Orice haină și orice piele pe care va fi scurgere seminală să fie spălate cu apă și vor fi necurate până seara.
LEV 15:18	Dacă un bărbat se culcă cu o femeie și are o scurgere seminală, amândoi să se scalde în apă și vor fi necurați până seara.
LEV 15:19	Când o femeie va avea o scurgere, și scurgerea din trupul ei va fi sânge, va rămâne șapte zile în necurăția menstruației ei; oricine se va atinge de ea va fi necurat până seara.
LEV 15:20	Tot ce se va culca ea în timpul necurăției ei va fi necurat, și tot pe ce se va așeza va fi necurat.
LEV 15:21	Cine se va atinge de patul ei să-și spele hainele, să se scalde în apă și va fi necurat până seara.
LEV 15:22	Cine se va atinge de vreun lucru pe care s-a așezat ea să-și spele hainele, să se scalde în apă și va fi necurat până seara.
LEV 15:23	Dacă ceva este pe pat sau pe lucrul pe care s-a așezat ea, când cineva se va atinge de el va fi necurat până seara.
LEV 15:24	Dacă un bărbat se culcă cu ea și necurăția ei vine peste el, va fi necurat șapte zile, și orice pat pe care se va culca va fi necurat.
LEV 15:25	Dacă o femeie va avea o scurgere de sânge timp de multe zile în afara timpului menstruației ei, sau dacă scurgerea ei durează peste timpul menstruației, în toate zilele scurgerii necurăției ei va fi ca în zilele menstruației ei: este necurată.
LEV 15:26	Orice pat pe care se va culca în toate zilele scurgerii ei va fi pentru ea ca patul menstruației ei; și orice lucru pe care se va așeza va fi necurat, ca în necurăția menstruației ei.
LEV 15:27	Oricine se va atinge de ele va fi necurat; să-și spele hainele, să se scalde în apă și va fi necurat până seara.
LEV 15:28	Dar când se va curăți de scurgerea ei, va număra șapte zile, iar după aceea va fi curată.
LEV 15:29	În ziua a opta să ia două turturele sau doi pui de porumbel și să-i aducă preotului, la intrarea Cortului Întâlnirii.
LEV 15:30	Preotul va pregăti unul ca jertfă pentru păcat și celălalt ca jertfă de ardere de tot; astfel preotul va face ispășire pentru ea înaintea Domnului de scurgerea necurăției ei.
LEV 15:31	Așa să-i feriți pe fiii lui Israel de necurăția lor, ca să nu moară în necurăția lor, întinând lăcașul Meu care este în mijlocul lor.
LEV 15:32	Aceasta este legea pentru cel ce are o scurgere, pentru cel ce are o scurgere seminală prin care devine necurat,
LEV 15:33	pentru cea suferindă de menstruație, pentru cel ce are o scurgere, fie bărbat, fie femeie, și pentru bărbatul care se culcă cu o femeie necurată.”
LEV 16:1	Domnul i-a vorbit lui Moise după moartea celor doi fii ai lui Aaron, când s-au apropiat de Domnul și au murit.
LEV 16:2	Domnul i-a zis lui Moise: „Spune fratelui tău Aaron să nu intre în orice vreme în Sfântul Lăcaș, dincoace de perdea, în fața Scaunului Îndurării de pe chivot, ca să nu moară; căci Eu Mă voi arăta în nor deasupra Scaunului Îndurării.
LEV 16:3	Iată cum va intra Aaron în Sfântul Lăcaș: cu un taur din cireadă ca jertfă pentru păcat și un berbec ca jertfă de ardere de tot.
LEV 16:4	Se va îmbrăca cu tunica sfântă de in, va avea izmenele de in pe trup, se va încinge cu brâul de in și își va pune pe cap mitra de in; acestea sunt veșminte sfinte. Își va scălda trupul în apă și apoi se va îmbrăca cu ele.
LEV 16:5	De la adunarea fiilor lui Israel va lua doi țapi ca jertfă pentru păcat și un berbec ca jertfă de ardere de tot.
LEV 16:6	Aaron va aduce taurul jertfei pentru păcat care este pentru sine și va face ispășire pentru sine și pentru casa lui.
LEV 16:7	Va lua cei doi țapi și îi va înfățișa înaintea Domnului, la intrarea Cortului Întâlnirii.
LEV 16:8	Aaron va trage la sorți pentru cei doi țapi: un sorț pentru Domnul și un sorț pentru Azazel.
LEV 16:9	Aaron va aduce țapul peste care a căzut sorțul pentru Domnul și îl va pregăti ca jertfă pentru păcat.
LEV 16:10	Iar țapul peste care a căzut sorțul pentru Azazel va fi înfățișat viu înaintea Domnului, pentru a face ispășire peste el și pentru a fi trimis la Azazel, în pustie.
LEV 16:11	Aaron va aduce taurul jertfei pentru păcat care este pentru sine și va face ispășire pentru sine și pentru casa lui, și va junghia taurul jertfei pentru păcat care este pentru sine.
LEV 16:12	Va lua o cădelniță plină cu cărbuni aprinși de pe altarul dinaintea Domnului și doi pumni plini de tămâie mirositoare pisată mărunt, și le va duce dincoace de perdea.
LEV 16:13	Va pune tămâia pe foc înaintea Domnului, pentru ca norul de tămâie să acopere Scaunul Îndurării care este deasupra Mărturiei, ca să nu moară.
LEV 16:14	Va lua din sângele taurului și va stropi cu degetul pe Scaunul Îndurării, spre răsărit; și în fața Scaunului Îndurării va stropi din sânge de șapte ori cu degetul său.
LEV 16:15	Va junghia apoi țapul jertfei pentru păcat care este pentru popor și va duce sângele lui dincoace de perdea. Va face cu sângele lui cum a făcut cu sângele taurului: va stropi cu el pe Scaunul Îndurării și în fața Scaunului Îndurării.
LEV 16:16	Astfel va face ispășire pentru Sfântul Lăcaș, din cauza necurățiilor fiilor lui Israel și din cauza abaterilor lor, pentru toate păcatele lor. Așa va face și pentru Cortul Întâlnirii, care rămâne cu ei în mijlocul necurățiilor lor.
LEV 16:17	Niciun om să nu fie în Cortul Întâlnirii când va intra el să facă ispășire în Sfântul Lăcaș, până când va ieși și va face ispășire pentru sine, pentru casa lui și pentru toată adunarea lui Israel.
LEV 16:18	Va ieși la altarul care este înaintea Domnului și va face ispășire pentru el: va lua din sângele taurului și din sângele țapului și va pune pe coarnele altarului de jur împrejur.
LEV 16:19	Va stropi pe el din sânge cu degetul de șapte ori, îl va curăți și îl va sfinți de necurățiile fiilor lui Israel.
LEV 16:20	Când va termina de făcut ispășire pentru Sfântul Lăcaș, pentru Cortul Întâlnirii și pentru altar, va aduce țapul cel viu.
LEV 16:21	Aaron își va pune ambele mâini pe capul țapului viu și va mărturisi peste el toate nelegiuirile fiilor lui Israel, toate abaterile lor și toate păcatele lor; le va pune pe capul țapului și îl va trimite în pustie prin intermediul unui om pregătit.
LEV 16:22	Țapul va purta asupra lui toate nelegiuirile lor într-un pământ pustiu, iar omul va lăsa țapul să plece în pustie.
LEV 16:23	Aaron va intra în Cortul Întâlnirii, își va dezbrăca veșmintele de in pe care le îmbrăcase când intrase în Sfântul Lăcaș și le va lăsa acolo.
LEV 16:24	Își va scălda trupul în apă într-un loc sfânt, își va îmbrăca veșmintele, va ieși și își va aduce jertfa sa de ardere de tot și jertfa de ardere de tot a poporului, făcând ispășire pentru sine și pentru popor.
LEV 16:25	Iar grăsimea jertfei pentru păcat o va ardă pe altar.
LEV 16:26	Cel ce va da drumul țapului pentru Azazel își va spăla hainele, își va scălda trupul în apă și după aceea va putea intra în tabără.
LEV 16:27	Taurul jertfei pentru păcat și țapul jertfei pentru păcat, al căror sânge a fost dus în Sfântul Lăcaș pentru a face ispășire, vor fi scoși afară din tabără și le vor arde în foc pieile, carnea și bălegarul.
LEV 16:28	Cel ce le va arde își va spăla hainele, își va scălda trupul în apă și după aceea va putea intra în tabără.
LEV 16:29	Aceasta va fi pentru voi o ordonanță veșnică: în luna a șaptea, în ziua a zecea a lunii, să vă smeriți sufletele și să nu faceți nicio muncă, nici băștinașul, nici străinul care locuiește în mijlocul vostru.
LEV 16:30	Căci în această zi se va face ispășire pentru voi, ca să fiți curățiți; veți fi curățiți de toate păcatele voastre înaintea Domnului.
LEV 16:31	Va fi pentru voi un Sabat de odihnă deplină și vă veți smeri sufletele; este o ordonanță veșnică.
LEV 16:32	Preotul care va fi uns și consacrat ca să slujească în locul tatălui său va face ispășirea; se va îmbrăca cu veșmintele de in, veșmintele sfinte.
LEV 16:33	Va face ispășire pentru Sfântul Lăcaș, va face ispășire pentru Cortul Întâlnirii și pentru altar, și va face ispășire pentru preoți și pentru tot poporul adunării.
LEV 16:34	Aceasta va fi pentru voi o ordonanță veșnică: să se facă ispășire pentru fiii lui Israel de toate păcatele lor o dată pe an.” Și s-a făcut așa cum îi poruncise Domnul lui Moise.
LEV 17:1	Domnul i-a vorbit lui Moise, spunând:
LEV 17:2	„Vorbește lui Aaron, fiilor lui și tuturor fiilor lui Israel și spune-le: Iată ce a poruncit Domnul, spunând:
LEV 17:3	Orice om din casa lui Israel care va junghia un taur, un miel sau o capră în tabără sau afară din tabără,
LEV 17:4	fără să-l aducă la intrarea Cortului Întâlnirii ca să-l aducă drept dar Domnului înaintea lăcașului Domnului, omului aceluia i se va socoti vina sângelui: a vărsat sânge și omul acela va fi nimicit din mijlocul poporului său.
LEV 17:5	Aceasta pentru ca fiii lui Israel să-și aducă jertfele pe care le junghie pe câmp liber și să le aducă Domnului la intrarea Cortului Întâlnirii, preotului, și să le aducă ca jertfe de pace Domnului.
LEV 17:6	Preotul va stropi sângele pe altarul Domnului, la intrarea Cortului Întâlnirii, și va ardă grăsimea ca un miros plăcut Domnului.
LEV 17:7	Să nu-și mai aducă jertfele lor demonilor cu înfățișare de țap, după care se desfrânează. Aceasta va fi pentru ei o ordonanță veșnică din neam în neam.”
LEV 17:8	De aceea spune-le: „Orice om din casa lui Israel sau dintre străinii care locuiesc în mijlocul lor, care va aduce o jertfă de ardere de tot sau o jertfă,
LEV 17:9	fără să o aducă la intrarea Cortului Întâlnirii ca să o aducă Domnului, omul acela să fie nimicit din poporul său.
LEV 17:10	Dacă vreun om din casa lui Israel sau dintre străinii care locuiesc în mijlocul lor va mânca vreun fel de sânge, Îmi voi întoarce Fața împotriva sufletului care a mâncat sânge și îl voi nimici din mijlocul poporului său.
LEV 17:11	Căci viața trupului este în sânge, iar Eu vi l-am dat pe altar ca să facă ispășire pentru sufletele voastre; căci sângele face ispășire prin viața din el.
LEV 17:12	De aceea am spus fiilor lui Israel: Niciun suflet dintre voi să nu mănânce sânge, și nici străinul care locuiește în mijlocul vostru să nu mănânce sânge.
LEV 17:13	Dacă cineva dintre fiii lui Israel sau dintre străinii care locuiesc în mijlocul lor va prinde la vânătoare un animal sau o pasăre care se mănâncă, să-i scurgă sângele și să-l acopere cu țărână.
LEV 17:14	Căci viața oricărui trup este sângele lui; de aceea am spus fiilor lui Israel: Să nu mâncați sângele niciunui trup, căci viața oricărui trup este sângele lui; oricine îl va mânca va fi nimicit.
LEV 17:15	Orice suflet, fie băștinaș, fie străin, care va mânca dintr-un animal mort de la sine sau sfâșiat, să-și spele hainele, să se scalde în apă și va fi necurat până seara; apoi va fi curat.
LEV 17:16	Dar dacă nu-și va spăla hainele și nu-și va scălda trupul, își va purta vina.”
LEV 18:1	Domnul i-a vorbit lui Moise, spunând:
LEV 18:2	„Vorbește fiilor lui Israel și spune-le: Eu sunt Domnul Dumnezeul vostru!
LEV 18:3	Să nu faceți după faptele țării Egiptului, în care ați locuit, și să nu faceți după faptele țării Canaanului, în care vă duc; să nu umblați după rânduielile lor.
LEV 18:4	Să împliniți judecățile Mele și să păziți rânduielile Mele, ca să umblați în ele. Eu sunt Domnul Dumnezeul vostru!
LEV 18:5	Păziți rânduielile Mele și judecățile Mele: omul care le va împlini va trăi prin ele. Eu sunt Domnul!
LEV 18:6	Niciunul dintre voi să nu se apropie de vreo rudă de sânge a sa ca să-i descopere goliciunea. Eu sunt Domnul!
LEV 18:7	Să nu descoperi goliciunea tatălui tău, adică goliciunea mamei tale: ea este mama ta, să nu-i descoperi goliciunea.
LEV 18:8	Să nu descoperi goliciunea nevestei tatălui tău; este goliciunea tatălui tău.
LEV 18:9	Să nu descoperi goliciunea surorii tale, fiica tatălui tău sau fiica mamei tale, fie că s-a născut în casă, fie afară.
LEV 18:10	Să nu descoperi goliciunea fiicei fiului tău sau a fiicei fiicei tale, căci este însăși goliciunea ta.
LEV 18:11	Să nu descoperi goliciunea fiicei nevestei tatălui tău, născută din tatăl tău: ea este sora ta.
LEV 18:12	Să nu descoperi goliciunea surorii tatălui tău: ea este ruda de sânge a tatălui tău.
LEV 18:13	Să nu descoperi goliciunea surorii mamei tale, căci ea este ruda de sânge a mamei tale.
LEV 18:14	Să nu descoperi goliciunea fratelui tatălui tău: să nu te meargă la nevasta lui, căci este mătușa ta.
LEV 18:15	Să nu descoperi goliciunea norei tale: ea este nevasta fiului tău, să nu-i descoperi goliciunea.
LEV 18:16	Să nu descoperi goliciunea nevestei fratelui tău; este goliciunea fratelui tău.
LEV 18:17	Să nu descoperi goliciunea unei femei și a fiicei ei; să nu iei pe fiica fiului ei sau pe fiica fiicei ei ca să le descoperi goliciunea: sunt rude de sânge, este o ticăloșie.
LEV 18:18	Să nu iei pe sora nevestei tale ca rivală, descoperindu-i goliciunea alături de ea în timpul vieții ei.
LEV 18:19	Să nu te apropi de o femeie în timpul necurăției menstruației ei, ca să-i descoperi goliciunea.
LEV 18:20	Să nu te culci cu nevasta aproapelui tău, ca să te întinezi cu ea.
LEV 18:21	Să nu dai pe niciunul din copiii tăi ca să fie trecut prin foc lui Molekh și să nu pângărești Numele Dumnezeului tău. Eu sunt Domnul!
LEV 18:22	Să nu te culci cu un bărbat așa cum se culcă cineva cu o femeie: este o urâciune.
LEV 18:23	Să nu te împreunezi cu niciun animal, ca să te întinezi cu el; și nicio femeie să nu se înfățișeze înaintea unui animal ca să se împreuneze cu el: este o perversiune.
LEV 18:24	Să nu vă întinați prin niciunul din aceste lucruri; căci prin toate acestea s-au întinat neamurile pe care le izgonesc dinaintea voastră.
LEV 18:25	Țara a fost întinată, de aceea îi pedepsesc nelegiuirea și țara își varsă locuitorii.
LEV 18:26	Voi însă păziți rânduielile Mele și judecățile Mele și să nu faceți niciuna din aceste urâciuni, nici băștinașul, nici străinul care locuiește în mijlocul vostru;
LEV 18:27	căci toate aceste urâciuni le-au făcut oamenii țării care au fost înaintea voastră și țara a fost întinată.
LEV 18:28	Astfel țara nu vă va varsa din cauza întinării voastre, așa cum a vărsat neamurile care au fost înaintea voastră.
LEV 18:29	Căci toți cei ce vor face vreuna din aceste urâciuni, sufletele care le vor face vor fi nimicit din mijlocul poporului lor.
LEV 18:30	Păziți dar rânduiala Mea și să nu urmați din obiceiurile urâcioase care s-au practicat înaintea voastră, ca să nu vă întinați prin ele. Eu sunt Domnul Dumnezeul vostru!”
LEV 19:1	Domnul i-a vorbit lui Moise, spunând:
LEV 19:2	„Vorbește întregii adunări a fiilor lui Israel și spune-le: Fiți sfinți, căci Eu sunt sfânt, Domnul Dumnezeul vostru!
LEV 19:3	Fiecare dintre voi să se teamă de mama sa și de tatăl său și să păziți Sabatele Mele. Eu sunt Domnul Dumnezeul vostru!
LEV 19:4	Să nu vă întoarceți spre idoli și să nu vă faceți dumnezei turnați. Eu sunt Domnul Dumnezeul vostru!
LEV 19:5	Când veți aduce o jertfă de pace Domnului, să o aduceți în așa fel încât să fiți primiți.
LEV 19:6	Să fie mâncată în ziua aducerii ei și a doua zi; iar ce va rămâne până a treia zi să fie ars în foc.
LEV 19:7	Dacă se va mânca a treia zi, este un lucru urâcios; nu va fi primită.
LEV 19:8	Cine va mânca din ea își va purta vina, pentru că a pângărit ce este sfânt al Domnului; sufletul acela va fi nimicit din poporul său.
LEV 19:9	Când veți secera secerișul țării voastre, să nu seceri câmpul până la margini și să nu aduni spicele căzute la seceriș.
LEV 19:10	Nici via ta să nu o culegi a doua oară și strugurii căzuți în via ta să nu-i aduni; să le lași pentru cel sărac și pentru străin. Eu sunt Domnul Dumnezeul vostru!
LEV 19:11	Să nu furați, să nu mințiți și să nu vă înșelați unii pe alții.
LEV 19:12	Să nu jurați strâmb pe Numele Meu, pângărind astfel Numele Dumnezeului tău. Eu sunt Domnul!
LEV 19:13	Să nu asuprești pe aproapele tău și să nu-l jefuiești. Plata argatului să nu rămână la tine până dimineața.
LEV 19:14	Să nu blestemi pe cel surd și să nu pui piatră de poticnire înaintea orbitor, ci să te temi de Dumnezeul tău. Eu sunt Domnul!
LEV 19:15	Să nu faceți nedreptate la judecată; să nu cauți la fața celui sărac și să nu părtinești pe cel mare, ci să judeci pe aproapele tău cu dreptate.
LEV 19:16	Să nu umbli cu clevetiri în poporul tău și să nu te ridici împotriva sângelui aproapelui tău. Eu sunt Domnul!
LEV 19:17	Să nu urăști pe fratele tău în inima ta; să dojenești pe aproapele tău, ca să nu te încarci cu păcat din cauza lui.
LEV 19:18	Să nu te răzbuni și să nu ții pizmă pe fiii poporului tău, ci să iubești pe aproapele tău ca pe tine însuți. Eu sunt Domnul!
LEV 19:19	Păziți rânduielile Mele. Să nu împerechezi vitele tale cu vite din altă specie; să nu semeni ogorul tău cu două feluri de semințe și să nu porți o haină țesută din două feluri de fir.
LEV 19:20	Dacă un bărbat se culcă cu o femeie care este o roabă logodită cu un alt bărbat, dar care nu a fost răscumpărată și nici nu i s-a dat libertatea, să fie pedepsiți, dar să nu fie puși la moarte, pentru că ea nu era liberă.
LEV 19:21	Bărbatul să aducă Domnului ca jertfă pentru vină, la intrarea Cortului Întâlnirii, un berbec ca jertfă pentru vină.
LEV 19:22	Preotul va face ispășire pentru el cu berbecul jertfei pentru vină înaintea Domnului, pentru păcatul pe care l-a săvârșit, și păcatul săvârșit îi va fi iertat.
LEV 19:23	Când veți intra în țară și veți sădi tot felul de pomi roditori, să le socotiți rodul ca netăiat împrejur; timp de trei ani va fi pentru voi netăiat împrejur; să nu se mănânce.
LEV 19:24	În anul al patrulea, tot rodul lor va fi sfânt, un prinos de laudă pentru Domnul.
LEV 19:25	Iar în anul al cincilea veți putea mânca din rodul lor, ca să vă sporească venitul. Eu sunt Domnul Dumnezeul vostru!
LEV 19:26	Să nu mâncați nimic cu sânge. Să nu ghiciți și să nu vrăjiți.
LEV 19:27	Să nu vă tăiați rotund colțurile părului de pe cap și să nu-ți strici colțurile bărbii.
LEV 19:28	Să nu vă faceți crestături pe trup pentru un mort și să nu vă faceți tatuaje pe voi. Eu sunt Domnul!
LEV 19:29	Să nu-ți pângărești fiica făcând-o să se desfrâneze, ca să nu se desfrâneze țara și să nu se umple țara de ticăloșie.
LEV 19:30	Păziți Sabatele Mele și cinstiți Sfântul Meu Lăcaș. Eu sunt Domnul!
LEV 19:31	Să nu vă întoarceți spre cei ce cheamă duhurile, nici spre vrăjitori; să nu-i căutați ca să vă întinați prin ei. Eu sunt Domnul Dumnezeul vostru!
LEV 19:32	Să te ridici în fața perilor cărunți, să cinstești fața bătrânului și să te temi de Dumnezeul tău. Eu sunt Domnul!
LEV 19:33	Dacă un străin va locui cu tine în țara voastră, să nu-l asuprit.
LEV 19:34	Străinul care locuiește cu voi să fie pentru voi ca un băștinaș din mijlocul vostru; să-l iubești ca pe tine însuți, căci și voi ați fost străini în țara Egiptului. Eu sunt Domnul Dumnezeul vostru!
LEV 19:35	Să nu faceți nedreptate la judecată, nici la măsura de lungime, nici la greutate, nici la măsura de capacitate.
LEV 19:36	Să aveți balanțe drepte, greutăți drepte, o efă dreaptă și un hin drept. Eu sunt Domnul Dumnezeul vostru, Care v-am scos din țara Egiptului!
LEV 19:37	Păziți toate rânduielile Mele și toate judecățile Mele și împliniți-le. Eu sunt Domnul!”
LEV 20:1	Domnul i-a vorbit lui Moise, spunând:
LEV 20:2	„Spune fiilor lui Israel: Orice om dintre fiii lui Israel sau dintre străinii care locuiesc în Israel, care își va da vreunul din copiii lui lui Molekh, să fie pus la moarte; poporul țării să-l ucidă cu pietre.
LEV 20:3	Eu Îmi voi întoarce Fața împotriva omului aceluia și îl voi nimici din mijlocul poporului său, pentru că și-a dat copilul lui Molekh, pângărindu-Mi Sfântul Lăcaș și profanând Numele Meu cel sfânt.
LEV 20:4	Dacă poporul țării își va închide ochii față de omul acela când își va da copilul lui Molekh și nu-l va pune la moarte,
LEV 20:5	Eu Îmi voi întoarce Fața împotriva omului aceluia și împotriva familiei lui și-l voi nimici din mijlocul poporului lor, pe el și pe toți cei ce se desfrânează ca el, desfrânându-se după Molekh.
LEV 20:6	Dacă un suflet se va întoarce spre cei ce cheamă duhurile și spre vrăjitori, ca să se desfrâneze după ei, Îmi voi întoarce Fața împotriva sufletului aceluia și îl voi nimici din mijlocul poporului său.
LEV 20:7	Sfințiți-vă dar și fiți sfinți, căci Eu sunt Domnul Dumnezeul vostru!
LEV 20:8	Păziți rânduielile Mele și împliniți-le. Eu sunt Domnul, Care vă sfințesc!
LEV 20:9	Căci orice om care își va blestema tatăl sau mama să fie pus la moarte; și-a blestemat tatăl sau mama, sângele lui este asupra lui.
LEV 20:10	Dacă un bărbat comite adulter cu nevasta altui bărbat, cu nevasta aproapelui său, adulterul și adultera să fie puși la moarte.
LEV 20:11	Bărbatul care se culcă cu nevasta tatălui său a descoperit goliciunea tatălui său; amândoi să fie puși la moarte, sângele lor este asupra lor.
LEV 20:12	Dacă un bărbat se culcă cu nora sa, amândoi să fie puși la moarte; au săvârșit o ticăloșie, sângele lor este asupra lor.
LEV 20:13	Dacă un bărbat se culcă cu un alt bărbat cum se culcă cineva cu o femeie, amândoi au săvârșit o urâciune; să fie puși la moarte, sângele lor este asupra lor.
LEV 20:14	Dacă un bărbat își ia de neveste pe o femeie și pe mama ei, este o nelegiuire; să fie arși în foc, el și ele, ca să nu fie nelegiuire în mijlocul vostru.
LEV 20:15	Bărbatul care se împreunează cu un animal să fie pus la moarte și animalul să-l ucidăți.
LEV 20:16	Dacă o femeie se apropie de vreun animal ca să se împreuneze cu el, să ucizi femeia și animalul; să fie puși la moarte, sângele lor este asupra lor.
LEV 20:17	Dacă un bărbat își ia pe sora sa, fiica tatălui său sau fiica mamei sale, și îi vede goliciunea, iar ea vede goliciunea lui, este o rușine; să fie nimiciți sub ochii fiilor poporului lor. A descoperit goliciunea surorii sale, își va purta vina.
LEV 20:18	Dacă un bărbat se culcă cu o femeie în timpul necurăției ei și îi descoperă goliciunea, i-a descoperit scurgerea și ea și-a descoperit scurgerea sângelui ei; amândoi să fie nimiciți din mijlocul poporului lor.
LEV 20:19	Să nu descoperi goliciunea surorii mamei tale sau a surorii tatălui tău, căci s-a descoperit ruda de sânge; își vor purta vina.
LEV 20:20	Dacă un bărbat se culcă cu mătușa sa, a descoperit goliciunea unchiului său; își vor purta păcatul, vor muri fără copii.
LEV 20:21	Dacă un bărbat își ia pe nevasta fratelui său, este o necurăție; a descoperit goliciunea fratelui său, vor fi fără copii.
LEV 20:22	Păziți toate rânduielile Mele și toate judecățile Mele și împliniți-le, ca să nu vă varse țara în care vă duc să locuiți.
LEV 20:23	Să nu umblați după obiceiurile neamurilor pe care le izgonesc dinaintea voastră; căci ele au făcut toate aceste lucruri și Mi s-a scârbit de ele.
LEV 20:24	Dar vouă v-am spus: Voi veți moșteni pământul lor și Eu vi-l voi da în stăpânire, o țară în care curge lapte și miere. Eu sunt Domnul Dumnezeul vostru, Care vă-am separat de alte popoare!
